Date,Open,High,Low,Close,EMA10,Smoothing Line10,EMA40,Smoothing Line40,Basis,Upper,Lower,Volume,Volume MA,RSI,RSI-based MA,ROC,Williams,Histogram,MACD,Signal,CCI,Smoothing Line,Disparity Index,SES,Sentiment Avg,H/L%
2/11/14,87.94,88.97,87.89,88.8,86.32621638,86.1541558,86.79270884,86.12729412,86.892,89.81450988,83.96949012,38682035,43041678.9,58.55957041,51.99222607,1.718213058,-3.250478011,0.180353852,0.108797965,-0.071555886,97.32211171,2.817407954,2.894316479,86.51674583,0.122707436,0.012288087
2/12/14,88.97,89.1695,88.7,88.97,86.45518143,86.23092869,87.18857996,86.41833156,86.958,90.00305238,83.91294762,32533008,42808625.5,58.969163,51.82162676,3.441460295,-3.674371489,0.280415215,0.278963132,-0.001452083,97.69361496,46.0604616,3.049506916,87.20172208,0.123857309,0.005293123
2/13/14,88.31,89.7,88.3,89.63,86.61005063,86.3416151,87.63247452,86.79681673,87.021,90.2281227,83.8138773,40492842,42840282.35,60.5415286,52.30462377,2.258984598,-1.174496644,0.370564806,0.461753925,0.091189119,121.1234912,80.75540536,3.566329099,87.73220546,0.12317243,0.01585504
2/14/14,89.56,90.01,89.33,89.81,86.76614572,86.47138997,88.02838824,87.19775914,87.0925,90.47650872,83.70849128,34086390,42831590.9,60.96518547,53.04185979,1.629512278,-3.189792663,0.418299029,0.614062906,0.195763876,120.1768933,98.51078951,3.44050283,88.30154382,0.119382929,0.007612224
2/18/14,89.93,90.4172,89.74,90.25,86.93608983,86.6187368,88.43231765,87.61489384,87.211,90.85315266,83.56884734,29614391,42466898.65,62.00084855,53.86606246,2.115863317,-2.504043611,0.45258502,0.761495151,0.308910131,124.600246,112.1832714,3.572365401,88.75408067,0.116274623,0.007546245
2/19/14,90.07,90.285,89.45,89.63,87.06750009,86.76699354,88.65007808,87.98636769,87.265,91.01537865,83.51462135,41775267,43234045.2,59.683712,54.75620495,1.991351843,-11.78937279,0.407966334,0.818868048,0.410901714,93.84920635,111.4886904,2.466071108,89.20285647,0.112022132,0.009334824
2/20/14,89.7,90.22,89.31,90.05,87.21298789,86.91855483,88.90460934,88.32957356,87.3285,91.2196966,83.4373034,41833212,43854434.2,60.71650232,55.33495553,1.693958216,-5.499311088,0.381671242,0.887990767,0.506319525,103.8928813,112.7285436,2.648656131,89.33099953,0.106765972,0.010189229
2/21/14,90.33,90.465,89.82,89.93,87.34552506,87.06564972,89.091044,88.62128746,87.401,91.42700994,83.37499006,31221745,43661650.05,60.25849516,55.93851019,1.295336788,-7.955390335,0.332908013,0.922454542,0.589546528,92.32791194,106.9694278,2.207285096,89.54669967,0.099749866,0.007181029
2/24/14,90.1,90.82,90.04,90.41,87.49501164,87.2114229,89.33085418,88.88178065,87.5845,91.80320821,83.36579179,31517522,42020781.05,61.46592222,57.07370568,2.181283906,-5.790960452,0.310150273,0.97723437,0.667084097,96.9213618,102.3183215,2.24484026,89.66168977,0.091652664,0.008662817
2/25/14,90.52,90.72,90.02,90.31,87.63232815,87.35067057,89.5088807,89.09709326,87.805,92.10862405,83.50137595,27464711,40210192.85,61.064543,58.03381122,4.115748213,-7.203389831,0.267164128,1.001039257,0.733875129,84.59979737,94.31823176,1.688181124,89.88618284,0.083961092,0.00777605
